Код;SchoolName;Type;Level;Organization;Spec;Subject;ShortNameSchool;City;CityType;Region;Address
247;"Негосударственное образовательное учреждение  ""Ксения""";НГО;СОО;школа;негос;;"Негосударственное образовательное учреждение  ""Ксения""";Архангельск;город;;163002, г. Архангельск, ул. Урицкого, д. 8
248;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Открытая (сменная) общеобразовательная школа""";МБОУ;СОО;школа;сменная;открытая;Открытая (сменная) общеобразовательная школа г. Архангельск;Архангельск;город;;163000, г. Архангельск, Ломоносовский территориальный округ, просп. Чумбарова-Лучинского, д. 28
251;"Муниципальное образовательное учреждение ""Средняя общеобразовательная школа №2 города Коряжмы""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №2 г. Коряжма;Коряжма;город;;
252;"Муниципальное образовательное учреждение ""Средняя общеобразовательная школа №3 г. Коряжмы""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №3 г. Коряжмы;Коряжма;город;;
253;"Муниципальное образовательное учреждение ""Средняя общеобразовательная школа №4 города Коряжмы""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №4 города Коряжмы;Коряжма;город;;
254;"Муниципальное образовательное учреждение ""Средняя общеобразовательная школа №5 г. Коряжмы""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №5 г. Коряжмы;Коряжма;город;;
255;"Муниципальное образовательное учреждение ""Средняя общеобразовательная школа №6 города Коряжмы""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №6 города Коряжмы;Коряжма;город;;
256;"муниципальное образовательное учреждение ""Средняя общеобразовательная школа №7 города Коряжмы""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №7 города Коряжмы;Коряжма;город;;
257;"Муниципальное образовательное учреждение""Вечерняя (сменная) общеобразовательная школа города Коряжмы""";МОУ;СОО;школа;сменная;вечерняя;Вечерняя (сменная) общеобразовательная школа города Коряжмы;Коряжма;город;;
259;"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа №2""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №2 г. Котласа;Котлас;город;;165300, Архангельская область, г. Котлас, ул. Кедрова, д. 9
260;"Муниципальное общеобразовательное учреждение ""Общеобразовательный лицей №3""";МОУ;СОО;лицей;спец;;Общеобразовательный лицей №3 г. Котласа;Котлас;город;;165300, Архангельская область, г. Котлас, ул. Виноградова, д. 3
261;"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа №4""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №4 г. Котласа;Котлас;город;;165300, Архангельская область, г. Котлас, ул. Ленина, д. 103
263;"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа №5""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №5 г. Котласа;Котлас;город;;165311, Архангельская область, г. Котлас, ул. Герцена, д. 8-а
264;"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа №7""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №7 г. Котласа;Котлас;город;;165300, Архангельская область, г. Котлас, ул. 70 лет Октября, д. 21
266;"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа №17""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №17 г. Котласа;Котлас;город;;165300, Архангельская область, г. Котлас, ул. Багратиона, д. 10
267;"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа №18""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №18 г. Котласа;Котлас;город;;165300, Архангельская область, г. Котлас, ул. Маяковского, д. 31
268;"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа №75""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №75 г. Котласа;Котлас;город;;165300, Архангельская область, г. Котлас, пос. Вычегодский, ул. Медицинская, д. 12
269;"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа №76""";МОУ;СОО;школа;;;Средняя общеобразовательная школа №76 г. Котласа;Котлас;город;;165300, Архангельская область, г. Котлас, ул. Калинина, д. 21
